job_id,job_title,company_name,location,salary,employment_type,skills,posting_date
JID-2652,Frontend Developer,,"Austin, TX",Negotiable,Full-time,"AWS, TensorFlow, Python, C++",3/23/2024
JID-3040,Product Manager,DataWave,"Los Angeles, CA",$51k,Full-time,"SQL, React",9/25/2023
JID-4931,AI Engineer,CyberSecure,"Austin, TX",,Contract,"SQL, React",10-10-2023
JID-9015,Full Stack Developer,DataWave,"Seattle, WA",,Contract,"TensorFlow, React, SQL",10-05-2024
JID-3689,Product Manager,,Remote,$56k,Full-time,"Kubernetes, Node.js, Docker, React, Java",8/26/2024
JID-5033,Full Stack Developer,CodeBase,"Chicago, IL",$73k,Part-time,"Kubernetes, Docker, C++, Python",3/19/2023
JID-6877,Backend Developer,DevMasters,"New York, NY",,Contract,,11/25/2025
JID-4431,Cybersecurity Analyst,DevMasters,Remote,$135k,Full-time,"SQL, Node.js",08-05-2023
JID-7305,Software Engineer,CloudNet,"San Francisco, CA",$57k,Full-time,"SQL, Python, C++",10/22/2025
JID-1770,Cybersecurity Analyst,InnovateX,"Seattle, WA",Negotiable,Part-time,"React, Python, Node.js, C++, SQL",6/25/2024
JID-4868,Full Stack Developer,CyberSecure,"Los Angeles, CA",,Part-time,"Java, TensorFlow, AWS, SQL",7/21/2024
JID-7818,Cloud Architect,CodeBase,"Boston, MA",Negotiable,Full-time,"Java, Kubernetes",03-12-2025
JID-8080,Frontend Developer,CloudNet,"Chicago, IL",$141k,Part-time,"SQL, AWS",08-12-2025
JID-2913,Frontend Developer,DevMasters,"Chicago, IL",$64k,Part-time,"TensorFlow, AWS, C++, Kubernetes, Java",1/14/2023
JID-5571,DevOps Engineer,,"Seattle, WA",$131k,Full-time,"Kubernetes, Node.js, SQL, React",6/26/2024
JID-6466,Cybersecurity Analyst,TechCorp,"Seattle, WA",Negotiable,Contract,"AWS, Python, Node.js, React",03-10-2024
JID-3302,Software Engineer,DevMasters,"Los Angeles, CA",$95k,Part-time,"AWS, Java, Node.js",04-10-2024
JID-8786,DevOps Engineer,DataWave,"Los Angeles, CA",,Full-time,"SQL, Node.js, React, TensorFlow",1/27/2023
JID-4247,Data Scientist,AI Solutions,"New York, NY",,Full-time,"C++, TensorFlow, SQL, Java",4/14/2024
JID-5526,Cybersecurity Analyst,DataWave,"San Francisco, CA",,Part-time,"Java, TensorFlow, React, C++",7/20/2024
JID-6281,Data Scientist,TechCorp,Remote,Negotiable,Part-time,"TensorFlow, Node.js",12-09-2024
JID-3080,Cybersecurity Analyst,CloudNet,Remote,Negotiable,Part-time,"Kubernetes, Docker, AWS, Node.js, TensorFlow",10/23/2023
JID-9300,Cloud Architect,DataWave,Unknown,,Part-time,,4/15/2024
JID-1367,Product Manager,AI Solutions,"Los Angeles, CA",$141k,Part-time,"TensorFlow, AWS, SQL",02-11-2024
